"id","building","floor","type","label","lat","lng","uq_maps_identifier"
"1192588","69","8","Meeting Room","801 - Meeting/Board/Conference Room","-27.499028102789925","153.01275760048608","4cff7315e210b191fab04333671bbcdd248a27693d85a07a27da3034ffc78738"
"1192590","69","8","room","896 - Circulation Space","-27.498875669499295","153.01246621540773","d6915e6aaa2d7394dc4f7f30f3b2b4214169c7204940f93e37e499e2bc7d68ec"
"1192591","69","8","room","895 - Circulation Space","-27.498977976462776","153.0125808868122","9af336ce202114fe5a37f81c424dcf42e818dc2fe72751fdd4bb095ef73e9eee"
"1192592","69","8","Office","816 - Open Plan-Professional/General Staff","-27.498961074467303","153.01253424125693","6f226c94a6c6d332a8669b01b61b5c517e9398cc67e113d29ae5f00ea9d70eca"
"1192594","69","8","Office","808 - Office-Professional/General Staff","-27.499065170338305","153.0126029410768","7e62c6a61f6c6a2d45f5f593227d4c53d847caecf35d342e922c32aea6e6caed"
"1192595","69","8","Office","809 - Office-Professional/General Staff","-27.49909990479348","153.01258676345705","21494752f124382e5a059d1b57ddb33b319482aef5d262393d5febe3d3ae5bc5"
"1192596","69","8","Office","819 - Office-Professional/General Staff","-27.49888964644529","153.0125399392876","a009834fba901121749a106e4273953dc602b2b4dabc1601e5ffdbf9ea82fe6d"
"1192597","69","8","stairs","898 - Stairs","-27.498909376884356","153.01241832419683","ce3f2468f69af7ebac5e56b62a84874dd9cf7eb09acc0f51e3e344ec24a379a4"
"1192599","69","8","Meeting Room","802 - Meeting/Board/Conference Room","-27.49907179770555","153.0127373198518","da1383f43d276be8c6b1c1793f351238a87eab78b91060d9d8bf2243c3dfe916"
"1192600","69","8","room","826 - Plant Room-Mechanical","-27.49898703580557","153.0126176931296","e63fd1a8c27e31c4fed38e0dfde3971bddd80e0d3201c679e97e16d1cb0c0e53"
"1192601","69","8","Food & Beverage","817 - Dining Area","-27.498917524001843","153.01249018049276","archibus_0100698817"
"1192603","69","8","room","813 - Circulation Space","-27.4989250044318","153.0125527695493","37321068ab0d8c5b9ec43a0fbf61bd2964953809f55b04d7d4a662bee0605aa4"
"1192604","69","8","Office","815 - Open Plan-Professional/General Staff","-27.498878225345166","153.01269785064926","beb286540ee8e7a8ef9cbb56b4b285dc3557c0c9aa869d44087a44a99cac1bda"
"1192605","69","8","Office","811 - Open Plan-Professional/General Staff","-27.499074980240433","153.01252945074094","2fb7b4f655a0c77072fc36b6172b5ca4c9fc88725e55231697e0ab2e8c7c8828"
"1192606","69","8","room","894 - Circulation Space","-27.4990288647938","153.0126010933093","45bd5cdf837ba9804e73bd8a1c35a3bfdd14cdd1bc367cef9342d9efddb33fe5"
"1192609","69","8","Meeting Room","804 - Meeting/Board/Conference Room","-27.499007327012308","153.01270072041595","47bdf8e46b693d29d814a305841f31b43804922a32755c2763ac3d675850a6b9"
"1003220767","69","8","room","826A - ELECTRICAL RISER / DB","-27.49900883381927","153.01259254105443","b7c05a2088a9c3b1c915d9fea671d06ade412ab230908d5c8245ecf9a0777cac"
"1003220768","69","8","room","826D - FIRE RISER","-27.49895563615421","153.01264904340977","076cbbefb5d4ea67c6c75ab1d9b6d52561d63478d8385bcdb3ee9c5bc6b999a7"
"1192610","69","9","room","903 - COMMS MICROWAVE ROOM","-27.49894547635984","153.0126618658983","5445d2d5b0b55ad34cad2f36ffa6889386b0a7b5b915ed76c4bcec96ca08b4cc"
"1192611","69","9","room","901 - Lift Motor Room","-27.49886400184385","153.01243951114705","fc4edae9d5d72303cff758f46ff5f23f82fdb3d20dc6ae4b8d808a22897e59ec"
"1192612","69","9","stairs","998 - Stairs","-27.498918067601227","153.01241441134331","da62530ab1d2b09b356770d95d5453f6b1827e50f57ac30cbda974e75e692677"
"1192613","69","9","room","902 - Plant Room-Mechanical","-27.498965089231543","153.01265493047677","1793399746c8b24eea3413b38d21bea889e8350a9c792f58a4b890c57a00fb59"
